word	part_of_speech	category
rift	n	"""R-"" Words and Rotational Movements"
tiring	a	Emotional and Physical States
iodide	n	Chemical Compounds and Reactions
polio	n	Medical, Insects, and Skin Conditions
backup	n	"""B-"" Words and Objects"
simnel	n	"""S-"" Words"
impose	v	Verbs and Actions
over	a,n	Actions and Roles
defy	v	Verbs and Actions
bench	n,v	Actions and Roles
scrubs	n	Words Related to Shapes and Textures
bollix	v	"""B-"" Words and Objects"
gantry	n	Body Parts and Related Terms
buck	n,v	"""B-"" Words and Objects"
rafter	n,v	"""R-"" Words and Rotational Movements"
tetany	n	"""T-"" Words and Pairs"
ain	a	Numerals and Mathematical Terms
spinel	n	Words Related to Shapes and Textures
repeal	n,v	Verbs of Action and Change
heavy	a,n	Weight, Strength, and Body Descriptors
query	n,v	Actions and Roles
video	n	Communication and Media
lease	n,v	Economic and Trade Terms
gainly	a	Personal Characteristics and Behaviors
mucky	a	Negative and Disturbing Adjectives
nidus	n	Nouns and Actions
cleats	n	"""C-"" Words and Items"
viewer	n	Actions and Roles
bob	n,v	"""R-"" Words and Rotational Movements"
cream	n,v	Negative and Disturbing Adjectives
plumy	a	Words Related to Shapes and Textures
embalm	v	"""B-"" Words and Objects"
hl	n	"""H-"" Words"
faquir	n	Negative and Disturbing Adjectives
cymbid	n	"""C-"" Words and Items"
press	n,v	Actions and Roles
injury	n	Crimes, Violence and Misdeeds
rape	n,v	Crimes, Violence and Misdeeds
avouch	v	Verbs and Actions
ianfu	n	Negative and Disturbing Adjectives
curl	n,v	Actions and Roles
xxv	a	Numerals and Mathematical Terms
dayfly	n	Negative and Disturbing Adjectives
dear	a,n	Emotional and Physical States
desire	n,v	Emotional and Physical States
lanky	a	Personal Characteristics and Behaviors
bungee	n	"""B-"" Words and Objects"
blenny	n	Animals and Animal-Related Terms
cretin	n	Occupations and Personal Descriptors
propel	v	Verbs and Actions
brute	a,n	Negative and Disturbing Adjectives
leer	n,v	"""L-"" Words"
lunule	n	"""L-"" Words"
expect	v	Actions and Roles
pouf	n	Negative and Disturbing Adjectives
peer	n,v	"""P-"" Words"
topple	v	Actions and Descriptions
mute	a,n,v	Personal Characteristics and Behaviors
rumen	n	Anatomical and Biological Terms
tubal	a	"""T-"" Words and Pairs"
grog	n	"Words starting with ""G"""
beeper	n	Actions and Descriptions
conger	n	"""C-"" Words and Items"
pueblo	n	Clothing, Materials and Dressing Actions
speech	n	Communication and Media
tuner	n	Actions and Roles
adept	a,n	Personal Characteristics and Behaviors
nardoo	n	"Items, Actions and Concepts Starting with ""D"""
potful	n	Negative and Disturbing Adjectives
abroad	a	Actions and Roles
wormy	a	Medical, Insects, and Skin Conditions
miaow	n,v	Animals and Animal-Related Terms
deed	n	Actions and Roles
agleam	a	"Words starting with ""G"""
exact	a,v	Actions and Roles
loligo	n	Alphabets, Animals, and Games
unsexy	a	Personal Characteristics and Behaviors
spiff	n	Words Related to Shapes and Textures
cosy	a,n	Negative and Disturbing Adjectives
maypop	n	Plant and Tree Species
xxii	a	Numerals and Mathematical Terms
clingy	a	Emotional and Physical States
soigne	a	"""C-"" Words and Items"
cauda	n	Body Parts and Related Terms
woosh	v	Actions and Descriptions
moong	n	"""L-"" Words"
lumma	n	Lights, Colors, and Visibility
gaur	n	"Words starting with ""G"""
corrie	n	"""C-"" Words and Items"
runnel	n	"""R-"" Words and Rotational Movements"
rejig	v	Verbs of Action and Change
rapper	n	"""R-"" Words and Rotational Movements"
lapel	n	Clothing, Materials and Dressing Actions
carob	n	"""C-"" Words and Items"
devein	v	"Items, Actions and Concepts Starting with ""D"""
probe	n,v	Actions and Roles
fig	n	Actions and Roles
mumble	n,v	"""M-"" Words"
amuse	v	Negative and Disturbing Adjectives
milord	n	Occupations and Personal Descriptors
sulk	n,v	Emotional and Physical States
pusher	n	"""P-"" Words"
triton	n	"""T-"" Words and Pairs"
juggle	n,v	Actions and Descriptions
ridge	n,v	"""R-"" Words and Rotational Movements"
cobalt	n	Minerals and Geology
burble	v	Lights, Colors, and Visibility
binful	n	Negative and Disturbing Adjectives
cake	n,v	Food, Cooking, and Ingredients
hilar	a	"""H-"" Words"
cane	n,v	Animals and Animal-Related Terms
melosa	n	Plant and Tree Species
siskin	n	"""S-"" Words"
boo	n,v	"""B-"" Words and Objects"
gank	v	Crimes, Violence and Misdeeds
weewee	n	Actions and Descriptions
cipher	n,v	Actions and Roles
snooze	n,v	Emotional and Physical States
shovel	n,v	"Items, Actions and Concepts Starting with ""D"""
ligand	n	Binding, Restraining and Undoing
ban	n,v	"""B-"" Words and Objects"
recuse	v	Verbs of Action and Change
baisa	n	"""B-"" Words and Objects"
sodoku	n	Gossip, Deception, and Games
skim	a,n,v	Words Related to Shapes and Textures
burbot	n	Animals and Animal-Related Terms
get	n,v	Actions and Roles
didder	v	"Items, Actions and Concepts Starting with ""D"""
tweedy	a	"""T-"" Words and Pairs"
plait	n,v	Words Related to Shapes and Textures
ranger	n	"""R-"" Words and Rotational Movements"
nozzle	n	Words Related to Shapes and Textures
clone	n,v	"""C-"" Words and Items"
mink	n	Animals and Animal-Related Terms
quaker	n	Actions and Descriptions
tact	n	"""T-"" Words and Pairs"
hint	n,v	"""T-"" Words and Pairs"
clxx	a	Numerals and Mathematical Terms
pummel	v	Actions and Descriptions
jasper	n	Minerals and Geology
alias	n	"Starting with ""A"" or ""E"""
chou	n	Actions and Descriptions
henna	n,v	"""T-"" Words and Pairs"
snappy	a	Nouns and Actions
oafish	a	Occupations and Personal Descriptors
conga	n,v	"""C-"" Words and Items"
catkin	n	Animals and Animal-Related Terms
nooky	n	Nouns and Actions
proof	a,n,v	Actions and Roles
gonif	n	Crimes, Violence and Misdeeds
nickel	n,v	Nouns and Actions
bratty	a	Negative and Disturbing Adjectives
assist	n,v	Actions and Roles
chevvy	v	Modes of Transportation and Travel
tenth	a,n	Numerals and Mathematical Terms
rat	n,v	"""R-"" Words and Rotational Movements"
houri	n	Islamic and Middle Eastern Terms
gobs	n	"Words starting with ""G"""
tinker	n,v	Actions and Descriptions
liquid	a,n	Temperature and Heat-Related Terms
goujon	n	"Words starting with ""G"""
avenue	n	Places and Spaces
infix	n,v	Actions and Roles
hoya	n	"""H-"" Words"
sorbet	n	Food, Cooking, and Ingredients
termer	n	"""T-"" Words and Pairs"
dally	v	Actions and Descriptions
riff	n,v	"""R-"" Words and Rotational Movements"
potty	a,n	Hygiene, Health, and Bodily Functions
die	n,v	Emotional and Physical States
egg	n,v	"Starting with ""A"" or ""E"""
barium	n	"""B-"" Words and Objects"
ovoid	a,n	"""O-"" Words"
toecap	n	"""T-"" Words and Pairs"
ml	n	"""M-"" Words"
cloy	v	Negative and Disturbing Adjectives
entail	n,v	Verbs and Actions
char	n,v	Actions and Descriptions
binary	a,n	"""B-"" Words and Objects"
adit	n	"Starting with ""A"" or ""E"""
whin	n	Actions and Descriptions
peon	n	"""P-"" Words"
clown	n,v	Occupations and Personal Descriptors
dean	n	"Items, Actions and Concepts Starting with ""D"""
geeked	a	Negative and Disturbing Adjectives
dynamo	n	"Items, Actions and Concepts Starting with ""D"""
isohel	n	"""H-"" Words"
buffet	n,v	Food, Cooking, and Ingredients
gargle	n,v	Hygiene, Health, and Bodily Functions
fate	n,v	Gossip, Deception, and Games
mimosa	n	Plant and Tree Species
lorry	n	Modes of Transportation and Travel
allude	v	Verbs and Actions
mashie	n	"""M-"" Words"
bigger	a	Actions and Roles
gadoid	n	Animals and Animal-Related Terms
bazar	n	Economic and Trade Terms
loupe	n	"""L-"" Words"
sere	a	"""C-"" Words and Items"
coral	a,n	Animals and Animal-Related Terms
pul	n	"""P-"" Words"
serine	n	"""S-"" Words"
toucan	n	Animals and Animal-Related Terms
airbus	n	"Starting with ""A"" or ""E"""
dowse	n,v	Hygiene, Health, and Bodily Functions
dick	n	"Items, Actions and Concepts Starting with ""D"""
screw	n,v	Negative and Disturbing Adjectives
mewl	v	Animals and Animal-Related Terms
ogee	n	"""O-"" Words"
ramus	n	Plant and Tree Species
warner	n	Actions and Descriptions
sober	a,v	Emotional and Physical States
foiled	a	Food, Cooking, and Ingredients
whirr	n,v	"""R-"" Words and Rotational Movements"
cuckoo	n,v	"""C-"" Words and Items"
arles	n	"Starting with ""A"" or ""E"""
blue	a,n,v	Lights, Colors, and Visibility
gunner	n	Weapons and Cutting Tools
unmown	a	Plant and Tree Species
kitty	n	Animals and Animal-Related Terms
elk	n	Animals and Animal-Related Terms
gloomy	a	Emotional and Physical States
piss	n,v	Negative and Disturbing Adjectives
huge	a	Actions and Roles
skier	n	Modes of Transportation and Travel
bigos	n	Food, Cooking, and Ingredients
cay	n	"""C-"" Words and Items"
awn	n	"Starting with ""A"" or ""E"""
briefs	n	"""B-"" Words and Objects"
resh	n	Verbs of Action and Change
posh	a	Praise and Positivity
bask	v	"""B-"" Words and Objects"
garret	n	"Words starting with ""G"""
vortex	n	"""R-"" Words and Rotational Movements"
casava	n	Islamic and Middle Eastern Terms
gainer	n	Actions and Roles
decry	v	Verbs and Actions
relict	n	Minerals and Geology
way	n	Modes of Transportation and Travel
weak	a	Emotional and Physical States
hydric	a	Temperature and Heat-Related Terms
pacing	n	Fast-Paced and Intense Activities and States
urate	n	"Starting with ""A"" or ""E"""
thole	n	"""H-"" Words"
jujube	n	Plant and Tree Species
clap	n,v	"""C-"" Words and Items"
hood	n,v	"""H-"" Words"
mugger	n	"""M-"" Words"
rente	n	Economic and Trade Terms
sized	a	Actions and Roles
smoky	a	Food, Cooking, and Ingredients
unhand	v	Binding, Restraining and Undoing
agouti	n	Animals and Animal-Related Terms
pucker	n,v	"""P-"" Words"
pore	n,v	Places and Spaces
whist	n	Actions and Descriptions
stubby	a	Words Related to Shapes and Textures
halma	n	"""H-"" Words"
gawker	n	Actions and Roles
rowdy	a,n	Negative and Disturbing Adjectives
digger	n	"Items, Actions and Concepts Starting with ""D"""
marumi	n	"""M-"" Words"
mildew	n,v	"""M-"" Words"
argil	n	Minerals and Geology
abacus	n	"Starting with ""A"" or ""E"""
posse	n	Crimes, Violence and Misdeeds
ganja	n	Food, Cooking, and Ingredients
cooky	n	Food, Cooking, and Ingredients
vapour	n	Food, Cooking, and Ingredients
sateen	n	Clothing, Materials and Dressing Actions
prat	n	"""P-"" Words"
yellow	a,n,v	Lights, Colors, and Visibility
polish	n,v	"""P-"" Words"
haired	a	Clothing, Materials and Dressing Actions
saute	a,n,v	Food, Cooking, and Ingredients
cede	v	Actions and Roles
bit	n	"""B-"" Words and Objects"
peril	n,v	Negative and Disturbing Adjectives
eat	v	Food, Cooking, and Ingredients
scoff	n,v	Verbs and Actions
sissu	n	"""S-"" Words"
harem	n	Islamic and Middle Eastern Terms
ark	n	"Starting with ""A"" or ""E"""
glume	n	Plant and Tree Species
iguana	n	Animals and Animal-Related Terms
jampan	n	Alphabets, Animals, and Games
yaws	n	Medical, Insects, and Skin Conditions
nubbin	n	Nouns and Actions
yearly	a,n	"Starting with ""A"" or ""E"""
lungi	n	Alphabets, Animals, and Games
clon	n	"""C-"" Words and Items"
enough	a,n	Actions and Roles
penis	n	Anatomical and Biological Terms
taker	n	Actions and Roles
punkah	n	"""P-"" Words"
mire	n,v	Actions and Roles
tucked	a	"""T-"" Words and Pairs"
tumefy	v	Medical, Insects, and Skin Conditions
grill	n,v	"Words starting with ""G"""
owl	n	"""O-"" Words"
yowl	n,v	Actions and Descriptions
spiny	a	Words Related to Shapes and Textures
unpaid	a	Binding, Restraining and Undoing
hoaxer	n	Gossip, Deception, and Games
shorts	n	"""B-"" Words and Objects"
larrup	v	"""L-"" Words"
hoard	n,v	"""H-"" Words"
khimar	n	Clothing, Materials and Dressing Actions
milt	n	"""M-"" Words"
celiac	a	Food, Cooking, and Ingredients
pullet	n	Animals and Animal-Related Terms
saloon	n	Places and Spaces
hanky	n	"""H-"" Words"
limpet	n	"""L-"" Words"
brad	n,v	"""B-"" Words and Objects"
eparch	n	Occupations and Personal Descriptors
doomed	a,n	Negative and Disturbing Adjectives
skimp	v	Personal Characteristics and Behaviors
tampon	n,v	Clothing, Materials and Dressing Actions
see	n,v	Actions and Roles
snowy	a	Temperature and Heat-Related Terms
bodily	a	Weight, Strength, and Body Descriptors
bowfin	n	Animals and Animal-Related Terms
hegari	n	Islamic and Middle Eastern Terms
oolong	n	Plant and Tree Species
obeche	n	"""O-"" Words"
author	n,v	Occupations and Personal Descriptors
maimer	n	Praise and Positivity
filch	v	Crimes, Violence and Misdeeds
siesta	n	Nouns and Actions
equal	a,n,v	Actions and Roles
sliced	a	Words Related to Shapes and Textures
doze	n,v	Emotional and Physical States
rushed	a	Fast-Paced and Intense Activities and States
sore	a,n	Food, Cooking, and Ingredients
soleus	n	Body Parts and Related Terms
scribe	n,v	Actions and Roles
xylol	n	Chemical Compounds and Reactions
burp	n,v	Hygiene, Health, and Bodily Functions
nappy	a,n	Clothing, Materials and Dressing Actions
capful	n	Negative and Disturbing Adjectives
shikse	n	Actions and Descriptions
mob	n,v	Modes of Transportation and Travel
scull	n,v	Body Parts and Related Terms
chichi	a,n	"""P-"" Words"
hollow	a,n,v	"""H-"" Words"
tubed	a	"""T-"" Words and Pairs"
greave	n	"Words starting with ""G"""
hulky	a	"""H-"" Words"
stodgy	a	Negative and Disturbing Adjectives
muck	n,v	Negative and Disturbing Adjectives
lues	n	Medical, Insects, and Skin Conditions
sapper	n	Words Related to Shapes and Textures
elater	n	Body Parts and Related Terms
frowzy	a	Negative and Disturbing Adjectives
defer	v	Verbs of Action and Change
gullet	n	"Words starting with ""G"""
talon	n	Animals and Animal-Related Terms
plumb	a,n,v	Words Related to Shapes and Textures
sheikh	n	Actions and Descriptions
comal	a	"""C-"" Words and Items"
apart	a	"Starting with ""A"" or ""E"""
shaper	n	Actions and Roles
puma	n	"""P-"" Words"
dentin	n	Anatomical and Biological Terms
palmy	a	"""P-"" Words"
titer	n	"""T-"" Words and Pairs"
bilgy	a	Personal Characteristics and Behaviors
xvii	a	Numerals and Mathematical Terms
scores	n	Words Related to Shapes and Textures
musky	a	Negative and Disturbing Adjectives
tiptoe	n,v	"""T-"" Words and Pairs"
chanal	n	Binding, Restraining and Undoing
untune	v	Actions and Roles
mirid	n	Medical, Insects, and Skin Conditions
vigour	n	Fast-Paced and Intense Activities and States
iodin	n	Chemical Compounds and Reactions
adobe	n	Actions and Roles
box	n,v	"""B-"" Words and Objects"
opt	v	Actions and Roles
imbue	v	Verbs and Actions
bribe	n,v	Economic and Trade Terms
said	a	Communication and Media
mica	n	Minerals and Geology
mutton	n	Animals and Animal-Related Terms
proven	a	Actions and Roles
cubby	n	"""C-"" Words and Items"
amoeba	n	"Starting with ""A"" or ""E"""
hops	n	"""H-"" Words"
cupule	n	Plant and Tree Species
chives	n	Food, Cooking, and Ingredients
holder	n	Actions and Roles
slat	n,v	Words Related to Shapes and Textures
scrum	n	Words Related to Shapes and Textures
tacker	n	"""T-"" Words and Pairs"
draped	a	Clothing, Materials and Dressing Actions
peavy	n	"""P-"" Words"
recite	v	Verbs of Action and Change
lush	a,n	"""L-"" Words"
caftan	n	Clothing, Materials and Dressing Actions
reeler	n	Verbs of Action and Change
chesty	a	Body Parts and Related Terms
edger	n	"""B-"" Words and Objects"
twee	a	"""T-"" Words and Pairs"
brill	n	Lights, Colors, and Visibility
fisher	n	Negative and Disturbing Adjectives
border	n,v	"""B-"" Words and Objects"
stay	n,v	Verbs of Action and Change
pizzaz	n	Alphabets, Animals, and Games
ragout	n	Food, Cooking, and Ingredients
wisp	n	Actions and Descriptions
email	n,v	Communication and Media
dogie	n	Animals and Animal-Related Terms
heron	n	Animals and Animal-Related Terms
rester	n	Verbs of Action and Change
snotty	a	Nouns and Actions
kaput	a	"""C-"" Words and Items"
fusain	n	Plant and Tree Species
carpet	n,v	"""C-"" Words and Items"
suer	n	"""S-"" Words"
futile	a	Personal Characteristics and Behaviors
chains	n	Binding, Restraining and Undoing
ox	n	"""O-"" Words"
pistol	n	Weapons and Cutting Tools
boon	a,n	"""B-"" Words and Objects"
beset	v	"""B-"" Words and Objects"
silage	n	Words Related to Shapes and Textures
aspic	n	"Starting with ""A"" or ""E"""
sundog	n	Lights, Colors, and Visibility
kowtow	n,v	Actions and Descriptions
abet	v	"""B-"" Words and Objects"
kea	n	Numerals and Mathematical Terms
avower	n	Verbs and Actions
dit	n	"Items, Actions and Concepts Starting with ""D"""
rota	n	"""R-"" Words and Rotational Movements"
severe	a	Fast-Paced and Intense Activities and States
foible	n	Emotional and Physical States
bota	n	"""B-"" Words and Objects"
bypast	a	Modes of Transportation and Travel
pare	v	"""P-"" Words"
vesica	n	Medical, Insects, and Skin Conditions
guenon	n	Animals and Animal-Related Terms
vanish	v	Emotional and Physical States
tried	a	Actions and Roles
weir	n	Actions and Descriptions
here	a,n	Actions and Roles
natter	v	"Words starting with ""G"""
scup	n	Words Related to Shapes and Textures
carpel	n	"""C-"" Words and Items"
bestow	v	Verbs and Actions
sabin	n	"""S-"" Words"
ameban	a	"Starting with ""A"" or ""E"""
dearth	n	Emotional and Physical States
fusil	n	Weapons and Cutting Tools
cabman	n	Modes of Transportation and Travel
adonis	n	"Starting with ""A"" or ""E"""
oast	n	"""O-"" Words"
formed	a	Actions and Roles
unhewn	a	Weapons and Cutting Tools
arcus	n	"Starting with ""A"" or ""E"""
vlog	n	Actions and Roles
tyre	n	"""T-"" Words and Pairs"
xxxiv	a	Numerals and Mathematical Terms
craton	n	Places and Spaces
dotted	a	Words Related to Shapes and Textures
runner	n	"""R-"" Words and Rotational Movements"
nap	n,v	Nouns and Actions
bur	n,v	"""B-"" Words and Objects"
dyeing	n	"Items, Actions and Concepts Starting with ""D"""
nodule	n	Nouns and Actions
pathos	n	Emotional and Physical States
towhee	n	Animals and Animal-Related Terms
xenon	n	Chemical Compounds and Reactions
harbor	n,v	Places and Spaces
recant	v	Nouns and Actions
yeasty	a	Medical, Insects, and Skin Conditions
dose	n,v	"Items, Actions and Concepts Starting with ""D"""
dg	n	Numerals and Mathematical Terms
arnica	n	Plant and Tree Species
sebum	n	Anatomical and Biological Terms
flax	n	Clothing, Materials and Dressing Actions
guilt	n	Verbs and Actions
timber	n	Plant and Tree Species
prater	n	"""P-"" Words"
precis	n,v	Actions and Roles
citify	v	Verbs and Actions
soma	n	"""S-"" Words"
pace	n,v	Fast-Paced and Intense Activities and States
pe	n	"""P-"" Words"
smack	n,v	Actions and Descriptions
glyph	n	Actions and Roles
yanker	n	Occupations and Personal Descriptors
podzol	n	Minerals and Geology
toggle	n,v	Actions and Roles
flyway	n	Modes of Transportation and Travel
senna	n	"""S-"" Words"
fatwa	n	Islamic and Middle Eastern Terms
audile	a,n	"Starting with ""A"" or ""E"""
twisty	a	"""R-"" Words and Rotational Movements"
cymose	a	"""C-"" Words and Items"
quoter	n	Actions and Roles
quiver	n,v	Actions and Descriptions
yip	n,v	Gender, Family and Greetings
funnel	n,v	Words Related to Shapes and Textures
fight	n,v	Verbs and Actions
pierid	n	Medical, Insects, and Skin Conditions
mania	n	Negative and Disturbing Adjectives
rubato	n	Crimes, Violence and Misdeeds
boxers	n	"""B-"" Words and Objects"
tyke	n	"""T-"" Words and Pairs"
ness	n	Nouns and Actions
fils	n	Negative and Disturbing Adjectives
dado	n,v	"Items, Actions and Concepts Starting with ""D"""
lousy	a	Negative and Disturbing Adjectives
hunk	n	"""H-"" Words"
haggis	n	"""H-"" Words"
gunnel	n	Animals and Animal-Related Terms
model	a,n,v	Actions and Roles
pecker	n	"""P-"" Words"
redeem	v	Verbs of Action and Change
parr	n	"""P-"" Words"
whammy	n	Actions and Descriptions
cirio	n	"""C-"" Words and Items"
emote	v	"""M-"" Words"
sag	n,v	"""S-"" Words"
musnud	n	"""M-"" Words"
burned	a	Temperature and Heat-Related Terms
bunker	n,v	Places and Spaces
dune	n	"Items, Actions and Concepts Starting with ""D"""
loaf	n,v	Food, Cooking, and Ingredients
civil	a	"""C-"" Words and Items"
depth	n	Places and Spaces
zarf	n	Negative and Disturbing Adjectives
knead	v	Food, Cooking, and Ingredients
tossup	n	Actions and Descriptions
sloven	n	Words Related to Shapes and Textures
yarrow	n	Plant and Tree Species
passer	n	"""P-"" Words"
saliva	n	"""S-"" Words"
damsel	n	Occupations and Personal Descriptors
growl	n,v	Actions and Descriptions
loosen	v	Binding, Restraining and Undoing
meld	n,v	Actions and Roles
smoker	n	Food, Cooking, and Ingredients
kb	n	Numerals and Mathematical Terms
ozena	n	Anatomical and Biological Terms
walker	n	Modes of Transportation and Travel
rabbit	n,v	Animals and Animal-Related Terms
mange	n	"""M-"" Words"
digit	n	"""B-"" Words and Objects"
top	a,n,v	"""T-"" Words and Pairs"
doss	v	"Items, Actions and Concepts Starting with ""D"""
valved	a	Anatomical and Biological Terms
snore	n,v	Emotional and Physical States
brut	a	Negative and Disturbing Adjectives
auburn	a	Lights, Colors, and Visibility
key	a,n,v	Actions and Roles
praxis	n	"""P-"" Words"
bum	a,n,v	"""B-"" Words and Objects"
clue	n,v	Gossip, Deception, and Games
urging	n	Verbs and Actions
lack	n,v	Emotional and Physical States
vulvar	a	Anatomical and Biological Terms
above	a,n	Actions and Roles
boreal	a	Temperature and Heat-Related Terms
yacca	n	Plant and Tree Species
heresy	n	Negative and Disturbing Adjectives
blurry	a	Lights, Colors, and Visibility
tuffet	n	Negative and Disturbing Adjectives
locum	n	Actions and Roles
chyme	n	Anatomical and Biological Terms
septal	a	Numerals and Mathematical Terms
nipper	n	Occupations and Personal Descriptors
inulin	n	Plant and Tree Species
nookie	n	Nouns and Actions
dingo	n	Animals and Animal-Related Terms
choker	n	Actions and Descriptions
medley	n	"""M-"" Words"
poor	a,n	Negative and Disturbing Adjectives
sharer	n	Actions and Roles
egis	n	"Starting with ""A"" or ""E"""
tufted	a	Negative and Disturbing Adjectives
rumble	n,v	"""R-"" Words and Rotational Movements"
chivy	v	Modes of Transportation and Travel
saving	a,n	"""S-"" Words"
mope	n,v	"""M-"" Words"
blade	n	Weapons and Cutting Tools
soften	v	Negative and Disturbing Adjectives
madcap	a,n	"""C-"" Words and Items"
blinks	n	Lights, Colors, and Visibility
cave	n,v	Places and Spaces
pule	v	"""P-"" Words"
astir	a	Words Related to Shapes and Textures
gift	n,v	Actions and Roles
gossip	n,v	Gossip, Deception, and Games
steam	n,v	Temperature and Heat-Related Terms
ranid	n	Nouns and Actions
carpal	a,n	Body Parts and Related Terms
swampy	a	Negative and Disturbing Adjectives
lxviii	a	Numerals and Mathematical Terms
corded	a	Binding, Restraining and Undoing
revery	n	Verbs of Action and Change
scoke	n	Words Related to Shapes and Textures
coffin	n,v	Places and Spaces
shale	n	Minerals and Geology
brumal	a	Temperature and Heat-Related Terms
alpine	a	"Starting with ""A"" or ""E"""
devour	v	Verbs and Actions
sew	v	Clothing, Materials and Dressing Actions
dec	n	"Items, Actions and Concepts Starting with ""D"""
marcel	n,v	"""M-"" Words"
gar	n	"Words starting with ""G"""
crosse	n	"""C-"" Words and Items"
sparid	n	Words Related to Shapes and Textures
chirr	v	Actions and Descriptions
troika	n	"""T-"" Words and Pairs"
droopy	a	Hygiene, Health, and Bodily Functions
palm	n,v	"""P-"" Words"
taking	a,n	Actions and Roles
tannic	a	"""T-"" Words and Pairs"
common	a,n	Actions and Roles
siege	n	Crimes, Violence and Misdeeds
giving	a,n	Actions and Roles
quag	n	Negative and Disturbing Adjectives
shirr	v	Verbs of Action and Change
weight	n,v	Weight, Strength, and Body Descriptors
life	n	Verbs of Action and Change
trench	n,v	Places and Spaces
xliii	a	Numerals and Mathematical Terms
amnio	n	"Starting with ""A"" or ""E"""
viii	a	Numerals and Mathematical Terms
stiff	a,n	Weight, Strength, and Body Descriptors
winker	n	Actions and Descriptions
shriek	n,v	Actions and Descriptions
loofah	n	"""L-"" Words"
guan	n	Alphabets, Animals, and Games
grisly	a	Negative and Disturbing Adjectives
jig	n,v	Actions and Descriptions
plead	v	Verbs and Actions
thesis	n	Actions and Roles
airman	n	"Starting with ""A"" or ""E"""
spare	a,n,v	Words Related to Shapes and Textures
tabu	a,n	"""T-"" Words and Pairs"
bald	a,v	Clothing, Materials and Dressing Actions
azalea	n	Plant and Tree Species
stupor	n	Emotional and Physical States
marked	a	Actions and Roles
grist	n	"Words starting with ""G"""
thorny	a	Plant and Tree Species
holla	n	"""H-"" Words"
rangy	a	Personal Characteristics and Behaviors
rheumy	a	"""R-"" Words and Rotational Movements"
docket	n,v	Places and Spaces
tine	n	"""T-"" Words and Pairs"
amah	n	Gender, Family and Greetings
relish	n,v	Food, Cooking, and Ingredients
shelve	v	Places and Spaces
unfree	a	Binding, Restraining and Undoing
mailer	n	Communication and Media
toxin	n	Chemical Compounds and Reactions
tv	n	Communication and Media
styler	n	Words Related to Shapes and Textures
puku	n	"""P-"" Words"
turgor	n	Medical, Insects, and Skin Conditions
hiccup	n,v	"""H-"" Words"
sauce	n,v	Food, Cooking, and Ingredients
err	v	"Starting with ""A"" or ""E"""
byword	n	Actions and Roles
haying	n	Plant and Tree Species
gusset	n	Body Parts and Related Terms
lansa	n	"""L-"" Words"
balker	n	"""B-"" Words and Objects"
payer	n	Economic and Trade Terms
lxxii	a	Numerals and Mathematical Terms
pyinma	n	Alphabets, Animals, and Games
faulty	a	Negative and Disturbing Adjectives
brine	n,v	Chemical Compounds and Reactions
rotary	a,n	"""R-"" Words and Rotational Movements"
sweats	n	"""S-"" Words"
lookup	n	Actions and Roles
darts	n	"Items, Actions and Concepts Starting with ""D"""
sort	n,v	Actions and Roles
dodo	n	Animals and Animal-Related Terms
burgoo	n	Food, Cooking, and Ingredients
eyra	n	Animals and Animal-Related Terms
tipi	n	"""T-"" Words and Pairs"
option	n	Actions and Roles
moo	n,v	Animals and Animal-Related Terms
dormy	a	Places and Spaces
jay	n	Alphabets, Animals, and Games
bezel	n	"""B-"" Words and Objects"
redbud	n	Plant and Tree Species
xlii	a	Numerals and Mathematical Terms
mushy	a	"""M-"" Words"
intuit	v	Verbs and Actions
clang	n,v	Actions and Roles
choler	n	Anatomical and Biological Terms
beat	a,n,v	"""B-"" Words and Objects"
coffee	n	"""C-"" Words and Items"
chaser	n	Modes of Transportation and Travel
caring	a,n	"""C-"" Words and Items"
gonzo	a	"Words starting with ""G"""
autumn	n	Actions and Roles
malar	n	"""M-"" Words"
accost	v	Crimes, Violence and Misdeeds
squaw	n	"""T-"" Words and Pairs"
expend	v	Economic and Trade Terms
amyxia	n	"Starting with ""A"" or ""E"""
neap	n	Places and Spaces
wire	n,v	Binding, Restraining and Undoing
sitar	n	Places and Spaces
splint	n,v	Words Related to Shapes and Textures
madnep	n	"""M-"" Words"
pinche	n	Actions and Descriptions
gag	n,v	"Words starting with ""G"""
ambo	n	"Starting with ""A"" or ""E"""
razzle	n	"""R-"" Words and Rotational Movements"
shore	n,v	Places and Spaces
indict	v	Verbs and Actions
heave	n,v	Weight, Strength, and Body Descriptors
glom	v	Lights, Colors, and Visibility
ovular	a	"""O-"" Words"
drogue	n	Food, Cooking, and Ingredients
dining	n	Food, Cooking, and Ingredients
pickle	n,v	"""P-"" Words"
resign	v	Verbs of Action and Change
dialog	n	Actions and Roles
leased	a	Actions and Roles
waddle	n,v	Actions and Descriptions
up	a,v	Actions and Roles
madame	n	Occupations and Personal Descriptors
yore	n	Gender, Family and Greetings
tab	n	"""T-"" Words and Pairs"
roil	v	Verbs and Actions
teller	n	Occupations and Personal Descriptors
bedrid	a	"""B-"" Words and Objects"
pebble	n	Minerals and Geology
gunny	n	Weapons and Cutting Tools
maim	v	"""M-"" Words"
hike	n,v	Modes of Transportation and Travel
conima	n	"""C-"" Words and Items"
voicer	n	Communication and Media
napped	a	Nouns and Actions
classy	a	Praise and Positivity
totem	n	"""T-"" Words and Pairs"
corner	n,v	Actions and Roles
